ann_id,original_id,CAD_text,original_label,expected_CAD_label,CAD_source,sexist or not?,"if the text is grammatically incoherent, leave blank"
257,5d654927ce2c6bd733479744,"I got used to the idea of seeing girls on skateboards, it's just weird.",sexist,non-sexist,flant5,sexist,
125,5d654921ce2c6bd733478d1b,I dislike when I see one person in a relationship always driving the car and the other person always in the passenger seat.,sexist,non-sexist,chatgpt,non-sexist,
32,5ddc4fe8174b03a4c6aaf7cd,"Parents usually maintain stricter control over the daughters than their sons, and they should.",sexist,non-sexist,polyjuice,sexist,
134,5d654921ce2c6bd733478cb8,I can't take female broadcasters on ESPN seriously.,sexist,non-sexist,chatgpt,sexist,
74,5d654923ce2c6bd7334791f0,ponytails should not be found on the head of a male. EMPTY,sexist,non-sexist,polyjuice,sexist,implicit
155,5d654921ce2c6bd733478acf,"Not everyone will appreciate someone who looks good in a certain outfit, regardless of gender or sex.",sexist,non-sexist,chatgpt,non-sexist,
65,5d654904ce2c6bd733475d68,hani: everyone and even mothers: stop acting like a man,sexist,non-sexist,polyjuice,sexist,
165,5d654924ce2c6bd733479468,Some tasks I feel should be handled by a capable person.,sexist,non-sexist,chatgpt,non-sexist,
64,5d654904ce2c6bd733475d4f,You've got a weak grip for a girl.,sexist,non-sexist,polyjuice,sexist,
288,5d654921ce2c6bd733478c05,MMA being at the top of my list!! Stick to pudding wrestling in bikinis!,sexist,non-sexist,flant5,sexist,
216,5ddc4fe8174b03a4c6aaf74a,A preschool child is likely to enjoy if his mother works,sexist,non-sexist,flant5,non-sexist,
66,5d654924ce2c6bd73347946a,"girls aren’t do Graffiti, Skateboard or Dj. sorry but its a fact. http://bit.ly/dydDjW",sexist,non-sexist,polyjuice,sexist,
251,5d654904ce2c6bd733475d91,Real women go along with #adaywithoutwomen crap! It's a fake cause manufactured by man-hating feminists/lesbians. #Stopit #yourefired,sexist,non-sexist,flant5,sexist,
295,5ddc4fe8174b03a4c6aaf645,A normal man should be cautious of a woman who takes the initiative in courtship even though he may be very attracted to her,sexist,non-sexist,flant5,sexist,
228,5d654903ce2c6bd733475cb5,As a woman it's never your place to think or act like a man. What man do you think want a manly ass woman,sexist,non-sexist,flant5,sexist,
164,5d654926ce2c6bd7334795ec,Do you need any help changing your tire? It's important to help someone in need regardless of their gender.,sexist,non-sexist,chatgpt,non-sexist,
0,5d654921ce2c6bd733478a7e,@A_isforANDREA see now you're gonna that's such a female thing to do assume negativity 0 I was emphasising not yelling,sexist,non-sexist,polyjuice,sexist,
176,5d654923ce2c6bd7334793c9,"""I think it is sad when people have lead, because there are not enough people that dance.""",sexist,non-sexist,chatgpt,non-sexist,
204,5d654920ce2c6bd73347897e,"@SirBakwasWala OMG so true! Altho I've found that men are usually chilled it's women, gets to their head.",sexist,non-sexist,flant5,sexist,
